,date,n_all_tweets,n_keyword_tweets,proportion_keyword_tweets
0,2020-12-31,37103,1958,0.05277201304476727
1,2020-12-30,41213,3294,0.07992623686700798
2,2020-12-29,46853,4276,0.09126416664888054
3,2020-12-28,36487,2756,0.07553375174719763
4,2020-12-27,35855,3898,0.10871566029842421
5,2020-12-26,30475,2047,0.06716981132075471
6,2020-12-25,24225,1082,0.04466460268317853
7,2020-12-24,26123,1086,0.041572560578800294
8,2020-12-23,38179,2988,0.07826291940595616
9,2020-12-22,40640,3232,0.07952755905511812
10,2020-12-21,41340,3328,0.08050314465408805
11,2020-12-20,40723,2341,0.057485941605480935
12,2020-12-19,37069,2469,0.0666055194367261
13,2020-12-18,41889,3403,0.08123851130368355
14,2020-12-17,45242,3649,0.08065514345077583
15,2020-12-16,49204,3894,0.07913990732460775
16,2020-12-15,43233,2532,0.058566372909582956
17,2020-12-14,44433,2071,0.046609501946751286
18,2020-12-13,39911,2048,0.051314174037232846
19,2020-12-12,34910,2059,0.05898023488971641
20,2020-12-11,41820,2362,0.056480153036824486
21,2020-12-10,41695,3348,0.08029739776951673
22,2020-12-09,41410,2844,0.06867906302825405
23,2020-12-08,43596,3017,0.06920359666024406
24,2020-12-07,50817,4387,0.08632937796406714
25,2020-12-06,40015,2491,0.06225165562913907
26,2020-12-05,35670,1987,0.05570507429212223
27,2020-12-04,40465,2068,0.05110589398245397
28,2020-12-03,36639,2038,0.055623788858866235
29,2020-12-02,35932,2450,0.06818434821329178
30,2020-12-01,38533,2285,0.05929982093270703
31,2020-11-30,34836,1863,0.053479159490182566
32,2020-11-29,33560,1120,0.033373063170441
33,2020-11-28,32038,1346,0.04201261002559461
34,2020-11-27,40877,2022,0.049465469579470116
35,2020-11-26,39631,2463,0.06214831823572456
36,2020-11-25,39456,2134,0.05408556366585564
37,2020-11-24,36678,1727,0.04708544631659305
38,2020-11-23,39113,1804,0.04612277247973819
39,2020-11-22,42428,1864,0.04393325162628453
40,2020-11-21,40404,1997,0.04942579942579942
41,2020-11-20,39340,2289,0.05818505338078292
42,2020-11-19,43891,2560,0.058326308354788
43,2020-11-18,46471,2936,0.06317918701986185
44,2020-11-17,39754,2455,0.06175479197061931
45,2020-11-16,38426,2197,0.057174829542497266
46,2020-11-15,34523,1956,0.05665788025374388
47,2020-11-14,33383,1635,0.048977024233891504
48,2020-11-13,36151,2205,0.06099416337030788
49,2020-11-12,38455,2252,0.058561955532440514
50,2020-11-11,36916,2429,0.06579802795535811
51,2020-11-10,40306,2779,0.06894755123306703
52,2020-11-09,38680,2455,0.06346949327817994
53,2020-11-08,37473,1592,0.042483921756998375
54,2020-11-07,35297,1736,0.04918265008357651
55,2020-11-06,38225,2224,0.05818181818181818
56,2020-11-05,39761,3313,0.08332285405296648
57,2020-11-04,47024,2800,0.059544062606328683
58,2020-11-03,38319,1909,0.0498186278347556
59,2020-11-02,33913,1403,0.04137056585969982
60,2020-11-01,32793,1121,0.03418412466075077
61,2020-10-31,28936,1566,0.054119435996682334
62,2020-10-30,34405,1693,0.04920796395872693
63,2020-10-29,37904,2170,0.057249894470240606
64,2020-10-28,35143,2261,0.06433713684090715
65,2020-10-27,34445,2066,0.05997967774713311
66,2020-10-26,33776,2283,0.06759237328280436
67,2020-10-25,34758,2627,0.07557972265377755
68,2020-10-24,37168,4027,0.10834588893671976
69,2020-10-23,43724,5257,0.12023145183423292
70,2020-10-22,33292,2046,0.061456205695061876
71,2020-10-21,36468,1731,0.047466271799934186
72,2020-10-20,36226,1147,0.03166234196433501
73,2020-10-19,39179,816,0.020827484111386203
74,2020-10-18,38380,1024,0.026680562793121417
75,2020-10-17,33335,887,0.026608669566521675
76,2020-10-16,30944,881,0.028470785935884178
77,2020-10-15,30019,1236,0.04117392318198474
78,2020-10-14,33050,953,0.028835098335854764
