,change_point,resonance,novelty,transience,happiness,trust,expectation,surprised,anger,contempt,grief,fear,date,epidemiological,other,policy,danish,international,new_cases,new_cases_MA7,n_all_tweets,n_keyword_tweets,proportion_keyword_tweets
0,0,0.0,0.0,0.006014185638325328,1.4579328851783584e+16,1.2960305757345764e+16,3.045837579963135e+16,9357806570530194.0,6.098476634500705e+16,1.9143760164805376e+16,3627198308576384.0,3751843218041851.0,2019-01-01,0,0,0,0,0,,,18446,56,0.0030358885395207627
1,0,0.0,0.0,0.0018750132476705245,8907176251645407.0,1.0464972084789612e+16,3.0983182787889796e+16,1.0749198856157232e+16,6403059325495891.0,2.18319277381871e+16,4645844491852389.0,5992506014252643.0,2019-01-02,0,0,0,0,0,,,22031,125,0.005673823249058145
2,0,0.0,0.0,0.00108813633072391,8783947459684412.0,1068106467834229.0,3079451187792613.0,1146491243280735.0,6366160915554013.0,2.3084393965666724e+16,4066247615744754.0,4.736314374891625e+16,2019-01-03,0,0,0,0,0,,,23068,117,0.005071961158314548
3,0,0.0019929532446698933,0.0025763048480248953,0.0005833516033550021,8889385312331158.0,1.1508794314450768e+16,2984637379992519.0,1.0958339221146252e+16,7091629608079465.0,2.3921960849507496e+16,3661751381904326.0,4.0980050704459496e+16,2019-01-04,0,0,0,0,0,,,24061,128,0.00531981214413366
4,0,0.0004922861756267048,0.001868001046354339,0.0013757148707276346,9640353072625700.0,1.2730145251396646e+16,271533720670391.0,1102425474860335.0,705174972067039.0,2.4869935195530724e+16,3657233519553072.0,3850243575418994.0,2019-01-05,0,0,0,0,0,,,22375,90,0.004022346368715084
5,0,-0.0007112343875466394,0.000585400574682647,0.0012966349622292866,1.0156462039352616e+16,1.2173179823526636e+16,2.8397989902326236e+16,1089366772047374.0,65672250271316.0,2.4286835275798616e+16,3.638489123767282e+16,3865021469353088.0,2019-01-06,0,0,0,0,0,,,21193,112,0.005284763837116029
6,0,0.001374706070622653,0.0015029175434479653,0.00012821147282531255,9076733619261962.0,1.0945607032145736e+16,3252470168584653.0,1.0875557348507366e+16,6397571022124081.0,2195740371141025.0,3567399889591914.0,4630939742664231.0,2019-01-07,0,0,0,0,0,,,23549,100,0.004246464818038982
7,0,0.0006981192299167381,0.0009019341238937924,0.00020381489397705425,916266374608083.0,1.1031074174290252e+16,317604818966628.0,1.0821938753597044e+16,6526641755787484.0,2.2953304986470816e+16,3.309831207318643e+16,4410471159214877.0,2019-01-08,0,0,0,0,0,,,23283,176,0.007559163338057811
8,0,-1.1930218316980328e-05,0.0005495071789454069,0.0005614373972623872,8719514329468386.0,1.1270426602493984e+16,3.280076569678407e+16,1.081887551957996e+16,6388851454823888.0,2.240679938744257e+16,3304104134762634.0,4265639903740976.0,2019-01-09,0,0,0,0,0,,,22855,133,0.005819295558958652
9,0,-0.0008963006033695685,0.00017972357144440236,0.0010760241748139707,9045441854562374.0,1.1235767164431658e+16,3.3215457506662716e+16,1.039642962900292e+16,6142692161258935.0,2.2135898303650748e+16,3.7028723719277464e+16,4100499175092009.0,2019-01-10,0,0,0,0,0,,,23639,127,0.005372477685181268
10,0,-0.0004213397099965553,0.00023139386818566776,0.0006527335781822232,9484675818373812.0,1.1989989440337908e+16,3.1797131995776136e+16,1.0829026399155228e+16,604126293558606.0,2.230881520591341e+16,352398732840549.0,4000354804646251.0,2019-01-11,0,0,0,0,0,,,23675,189,0.0079831045406547
11,0,0.0002480123906832087,0.0011625372648731461,0.0009145248741899377,1004239655261928.0,1.1865604070401328e+16,2.8694688749286124e+16,1.108584185660142e+16,6481657234826851.0,2.4436664762992572e+16,3646601941747572.0,3.724547012096983e+16,2019-01-12,0,0,0,0,0,,,19261,115,0.005970614194486267
12,0,-0.0009094678946276512,0.0009245110304094539,0.001833978925037105,1.014778176229508e+16,1.1980332991803276e+16,2.8066039959016388e+16,1.1067884221311476e+16,6900988729508195.0,2363730020491803.0,3979912909836065.0,4198263319672131.0,2019-01-13,0,0,0,0,0,,,19520,116,0.005942622950819672
13,0,0.0006814617889857435,0.0009461224216293924,0.00026466063264364884,9091949989032680.0,1104809826716385.0,3.2747431454266284e+16,1.0638631278789208e+16,6637793375740295.0,2211524018425093.0,3547764860715069.0,4.149129194998902e+16,2019-01-14,0,0,0,0,0,,,22795,171,0.007501645097609125
14,0,0.0007157912746434715,0.0010025413194355043,0.0002867500447920329,882172231844363.0,1.0974608289362386e+16,3.2867720626737024e+16,1.0493188866959358e+16,6.232077979618962e+16,2292950819672131.0,3333834132194788.0,4323631530188907.0,2019-01-15,0,0,0,0,0,,,24827,197,0.007934909574253836
15,0,-0.00038217063179603154,0.0011618918668422878,0.0015440624986383193,8029832602630528.0,1.0585763252291748e+16,3317069748903945.0,1.1060649661219608e+16,605677959346353.0,2.3357752092467116e+16,2.9195097648465524e+16,4796169788760462.0,2019-01-16,0,0,0,0,0,,,25090,176,0.007014746911119968
16,0,-0.0007714865837668162,0.0002231635140181402,0.0009946500977849565,919941449031171.0,1.1047906486941868e+16,3.248254844144903e+16,1.0815113732097724e+16,6674005897219881.0,2214471777590564.0,3.2704380791912376e+16,4342270429654591.0,2019-01-17,0,0,0,0,0,,,23740,152,0.006402695871946083
17,0,0.00027140639015044664,0.000664114248747958,0.0003927078585975114,9894592955244572.0,1.1321311901564056e+16,3.0731532429270824e+16,1055993674450847.0,6694991551492568.0,2.34509856592002e+16,3389736146614098.0,3933235128460638.0,2019-01-18,0,0,0,0,0,,,23081,141,0.006108920757332871
18,0,0.00038006601823140974,0.0015672058298708824,0.0011871398116394727,1.0969383405227098e+16,1.2178518142603398e+16,2.9185866531337224e+16,1.1173803603146408e+16,681866531337224.0,2226880994671403.0,3773108348134991.0,360933265668612.0,2019-01-19,0,0,0,0,0,,,19705,101,0.00512560263892413
19,0,-0.0007601726882738763,0.0007812174981715339,0.0015413901864454102,1.0281173668474128e+16,1.139331069781584e+16,283446612273856.0,1.0676019865200424e+16,7179754725586579.0,2.3975751279582424e+16,4.135042821669285e+16,3992540414534029.0,2019-01-20,0,0,0,0,0,,,19733,102,0.005169006233213399
20,0,0.0003307906404486192,0.0006640555503619888,0.00033326490991336964,9605497110066946.0,1.0992311530624972e+16,3186120004989812.0,1.0574518691005862e+16,6489625348247327.0,2.2711746850180884e+16,3472206744563183.0,4.268131731049107e+16,2019-01-21,0,0,0,0,0,,,24049,170,0.007068900993804315
21,0,0.000858595040899896,0.0015123637083299312,0.0006537686674300353,8038283288546169.0,1.1057580714257892e+16,3237468551622074.0,1.0844226350430346e+16,6722954394983838.0,2.2845562176266696e+16,3.3175487790629744e+16,4777777777777777.0,2019-01-22,0,0,0,0,0,,,25677,150,0.00584180394905947
22,0,0.00023372770113455342,0.0008010155527977943,0.0005672878516632408,9168162716422928.0,1.1348285426122036e+16,3.3100706001008572e+16,1049413767019667.0,6673827534039335.0,2.1457547486972596e+16,3254778113968734.0,4479870566481761.0,2019-01-23,0,0,0,0,0,,,23796,206,0.008656917128929232
23,0,-0.0013435927378457856,0.0004213800157717247,0.0017649727536175105,9497861430715356.0,1.1095681173920292e+16,3.400572786393197e+16,1035433133233283.0,6156282307820576.0,2148420877105219.0,3376021344005336.0,4.005744538936134e+16,2019-01-24,0,0,0,0,0,,,23988,182,0.007587126896781723
24,0,-0.0006148429614093803,0.0004588821094870512,0.0010737250708964317,9801978116116974.0,1.1908519917448692e+16,3208116116973638.0,1.0659230559557648e+16,6108784704645457.0,2.2003344885323776e+16,3439375413729994.0,3974459717300728.0,2019-01-25,0,0,0,0,0,,,25681,215,0.00837194813286087
25,0,-9.726147165638276e-05,0.0011216453399850689,0.0012189068116414518,1.136410324640766e+16,116478499201703.0,2.9945407131452896e+16,1.0463618946248004e+16,7013219797764768.0,2.1403342203299628e+16,3.979292176689728e+16,4162171367748802.0,2019-01-26,0,0,0,0,0,,,18790,107,0.0056945183608302285
26,0,-0.0005042697105529532,0.002407460643399395,0.0029117303539523483,1.1157754961801204e+16,1.4743975100044462e+16,2742461700149561.0,1.0604664699462384e+16,6353902744654188.0,2.211713488823315e+16,4065766603338857.0,3.5101176280367024e+16,2019-01-27,0,0,0,0,0,,,24739,93,0.0037592465338130076
27,0,1.5965622884492087e-05,0.0007355992618578237,0.0007196336389733316,9942348320176940.0,1.1934854898371658e+16,3.0351168821263776e+16,1.0217564733249436e+16,6760431682111123.0,2289770049193456.0,3907695534454486.0,3.9659001639781864e+16,2019-01-28,0,0,0,0,0,,,26223,198,0.007550623498455555
28,0,0.0018526808583475718,0.0021268800617742947,0.0002741992034267231,856318256926565.0,1.0750712830957228e+16,324724474503324.0,1.0536725204626676e+16,632377896476194.0,2373076124966376.0,3.5091611266956144e+16,4087053760135265.0,2019-01-29,0,0,0,0,0,,,26023,225,0.008646197594435691
29,0,0.0007381256786868045,0.0014645367473062993,0.0007264110686194952,8674720600177889.0,1.1069693336942648e+16,3.243106461966819e+16,1.1058300785026488e+16,6319312425074441.0,2.2121470281140028e+16,3.873784755791019e+16,4427019606326617.0,2019-01-30,0,0,0,0,0,,,25859,166,0.006419428438841409
30,0,-0.0009375852777099793,0.00038959219739362366,0.0013271774751036026,841561036639857.0,1.1604110813226092e+16,3221919928507596.0,1132093297587131.0,6508793565683646.0,2.2356593386952636e+16,3401447721179624.0,4.148843610366398e+16,2019-01-31,0,0,0,0,0,,,27975,207,0.00739946380697051
31,0,-0.00040931331472448043,0.00036430656578490114,0.0007736198805093817,9145456779001676.0,1167266696695467.0,3085280291552352.0,1.0780168707260144e+16,639891896318742.0,2.3768678596290076e+16,3224159534826583.0,4132222267720404.0,2019-02-01,0,0,0,0,0,,,24421,174,0.007125015355636542
32,0,0.0003463384477506925,0.0011543591591785766,0.0008080207114278841,1.0085567592545052e+16,1.2025512142527084e+16,2.8413667402577396e+16,1.1377429788981876e+16,6929917338399136.0,2.3878574729167736e+16,3695173794732248.0,3572269856754119.0,2019-02-02,0,0,0,0,0,,,19477,119,0.006109770498536736
33,0,-0.00024748425972899424,0.0013665102360125106,0.0016139944957415046,1.0080440394036768e+16,1.1575994310699044e+16,2704271190012116.0,1.0531965442764578e+16,725735658220513.0,2.5610604224832744e+16,401394405520729.0,3863936153400411.0,2019-02-03,0,0,0,0,0,,,18983,121,0.006374124216404151
34,0,0.0003339924209763725,0.0007014237809075966,0.00036743135993122413,8743908876232809.0,1.1194540908459506e+16,3.0055655878131216e+16,1.118567393619484e+16,6970486641663194.0,2345024771959068.0,39603694957633.0,4413738019169328.0,2019-02-04,0,0,0,0,0,,,21597,123,0.005695235449367968
35,0,0.0008199262219255773,0.0011831814387175575,0.0003632552167919802,8464366930917325.0,1.0676983012457528e+16,3159149716874292.0,1.1144507361268402e+16,6378795016987543.0,2.3896992072480184e+16,3.3743329558323896e+16,4449440543601359.0,2019-02-05,0,0,0,0,0,,,22075,271,0.012276330690826728
36,0,-0.0001958131698462639,0.0008190519738125061,0.00101486514365877,8139066719794572.0,1.0474109000752642e+16,3185683357683623.0,1098320715455793.0,6958082082613892.0,2.4095948997210784e+16,3482512064461859.0,398654093062381.0,2019-02-06,0,0,0,0,0,,,22587,192,0.008500464869172534
37,0,-0.001013607569772777,0.0003612499701356842,0.0013748575399084614,8618658853592985.0,1.1458501123496496e+16,3.2175965986694276e+16,1.1127699695995064e+16,6502180904965413.0,2.2147274970260384e+16,3606432568180817.0,4.338939066837026e+16,2019-02-07,0,0,0,0,0,,,22697,177,0.00779838745208618
38,0,-0.0008620966808670017,0.0006798356762871472,0.001541932357154149,1020283217566659.0,1.1449240421241316e+16,3.1263181716334304e+16,1087115841362312.0,6310396594219135.0,2.2235487340354016e+16,3425305848084248.0,4.219157517365001e+16,2019-02-08,0,0,0,0,0,,,22315,184,0.00824557472552095
